iter	Passed	Remaining
693	62048	27358
694	62155	27276
695	62244	27187
696	62334	27098
697	62432	27012
698	62525	26924
699	62620	26837
700	62711	26748
701	62811	26663
702	62899	26573
703	62981	26480
704	63083	26396
705	63176	26308
706	63274	26222
707	63366	26134
708	63462	26047
709	63548	25956
710	63643	25869
711	63734	25780
712	63823	25690
713	63920	25604
714	64014	25516
715	64104	25426
716	64205	25341
717	64301	25254
718	64383	25162
719	64472	25072
720	64569	24986
721	64662	24897
722	64761	24811
723	64851	24722
724	64938	24631
725	65027	24541
726	65117	24452
727	65225	24369
728	65322	24283
729	65426	24198
730	65518	24110
731	65617	24023
732	65717	23938
733	65825	23854
734	65918	23766
735	66020	23681
736	66121	23595
737	66223	23510
738	66312	23420
739	66405	23331
740	66500	23243
741	66598	23156
742	66661	23057
743	66758	22970
744	66858	22884
745	66957	22798
746	67050	22709
747	67136	22618
748	67234	22531
749	67318	22439
750	67420	22353
751	67514	22265
752	67627	22183
753	67723	22095
754	67820	22007
755	67927	21923
756	68011	21831
757	68101	21742
758	68198	21654
759	68306	21570
760	68411	21485
761	68519	21401
762	68616	21313
763	68720	21227
764	68818	21140
765	68911	21051
766	69010	20964
767	69103	20875
768	69194	20785
769	69301	20700
770	69402	20613
771	69491	20523
772	69606	20440
773	69706	20353
774	69810	20267
775	69895	20176
776	69985	20086
777	70069	19994
778	70165	19905
779	70257	19816
780	70348	19726
781	70438	19636
782	70554	19553
783	70677	19472
784	70773	19383
785	70861	19293
786	70947	19201
787	71045	19113
788	71131	19022
789	71225	18933
790	71319	18844
791	71408	18753
792	71502	18664
793	71592	18574
794	71681	18483
795	71783	18396
796	71872	18306
797	71967	18217
798	72072	18130
799	72166	18041
800	72254	17950
801	72357	17863
802	72447	17773
803	72548	17686
804	72652	17598
805	72740	17508
806	72838	17419
807	72945	17333
808	73033	17242
809	73123	17152
810	73239	17068
811	73331	16978
812	73438	16891
813	73537	16803
814	73627	16712
815	73722	16623
816	73816	16534
817	73901	16442
818	74008	16355
819	74099	16265
820	74202	16178
821	74289	16087
822	74380	15996
823	74485	15909
824	74583	15820
825	74667	15728
826	74759	15638
827	74851	15548
828	74958	15461
829	75047	15371
830	75140	15281
831	75242	15193
832	75332	15102
833	75436	15014
834	75522	14923
835	75617	14834
836	75714	14744
837	75818	14657
838	75914	14567
839	75998	14475
840	76102	14387
841	76184	14295
842	76282	14206
843	76365	14114
844	76453	14023
845	76542	13933
846	76639	13844
847	76728	13753
848	76823	13663
849	76928	13575
850	77027	13486
851	77108	13394
852	77190	13302
853	77298	13214
854	77392	13125
855	77483	13034
856	77580	12945
857	77676	12855
858	77765	12764
859	77852	12673
860	77946	12583
861	78038	12493
862	78125	12402
863	78216	12311
864	78322	12223
865	78425	12135
866	78526	12046
867	78624	11956
868	78712	11865
869	78805	11775
870	78901	11685
871	79003	11596
872	79098	11506
873	79196	11417
874	79292	11327
875	79388	11237
876	79481	11147
877	79581	11057
878	79668	10966
879	79763	10876
880	79848	10785
881	79932	10693
882	80045	10606
883	80127	10514
884	80209	10422
885	80309	10333
886	80401	10242
887	80492	10152
888	80597	10063
889	80703	9974
890	80797	9884
891	80885	9793
892	80976	9702
893	81066	9611
894	81152	9520
895	81247	9430
896	81334	9339
897	81434	9249
898	81518	9158
899	81603	9067
900	81684	8975
901	81773	8884
902	81877	8795
903	81983	8706
904	82074	8615
905	82167	8525
906	82264	8435
907	82372	8346
908	82471	8256
909	82564	8165
910	82655	8075
911	82747	7984
912	82849	7894
913	82939	7803
914	83036	7713
915	83128	7623
916	83235	7533
917	83342	7444
918	83440	7354
919	83540	7264
920	83633	7173
921	83728	7083
922	83816	6992
923	83913	6901
924	84003	6811
925	84093	6720
926	84186	6629
927	84284	6539
928	84376	6448
929	84473	6358
930	84560	6267
931	84658	6176
932	84748	6085
933	84839	5995
934	84920	5903
935	85022	5813
936	85118	5723
937	85222	5633
938	85316	5542
939	85413	5451
940	85512	5361
941	85614	5271
942	85711	5180
943	85819	5090
944	85907	4999
945	85992	4908
946	86086	4817
947	86181	4727
948	86285	4637
949	86393	4547
950	86477	4455
951	86565	4364
952	86660	4273
953	86754	4183
954	86842	4092
955	86921	4000
956	87012	3909
957	87112	3819
958	87197	3727
959	87289	3637
960	87384	3546
961	87476	3455
962	87571	3364
963	87665	3273
964	87752	3182
965	87848	3091
966	87956	3001
967	88053	2910
968	88139	2819
969	88229	2728
970	88339	2638
971	88435	2547
972	88535	2456
973	88621	2365
974	88720	2274
975	88815	2183
976	88913	2093
977	89017	2002
978	89122	1911
979	89213	1820
980	89316	1729
981	89416	1639
982	89519	1548
983	89614	1457
984	89728	1366
985	89836	1275
986	89934	1184
987	90030	1093
988	90116	1002
989	90213	911
990	90312	820
991	90401	729
992	90494	637
993	90585	546
994	90694	455
995	90793	364
996	90882	273
997	90980	182
998	91073	91
999	91156	0
